note_classif, note_classif.label, note_classif.sort
"C5:2235","Nonstandard economic activity: Including P-X",273
"C5:2177","Nonstandard economic activity: Including Q, X",274
"C5:2036","Nonstandard economic activity: Including S-T",275
"C5:2032","Nonstandard economic activity: Including S-U",276
"C5:2029","Nonstandard economic activity: Including T-U",277
"C5:1025","Nonstandard economic activity: Including 0",278
"C5:1036","Nonstandard economic activity: Including 1",279
"C5:1034","Nonstandard economic activity: Including 2",280
"C5:1031","Nonstandard economic activity: Including 4",281
"C5:1032","Nonstandard economic activity: Including 6",282
"C5:1027","Nonstandard economic activity: Including 7",283
"C5:1035","Nonstandard economic activity: Including 8",284
"C5:1026","Nonstandard economic activity: Including 9",285
"C5:1981","Nonstandard economic activity: Including 0, 4",286
"C5:1929","Nonstandard economic activity: Including 1, 4, 8",287
"C5:1962","Nonstandard economic activity: Including 2, 4",288
"C5:1851","Nonstandard economic activity: Including 2, 4-5",289
"C5:1954","Nonstandard economic activity: Including 2, 4-5, 7",290
"C5:2858","Nonstandard economic activity: Including 33",291
"C5:2026","Nonstandard economic activity: Including 3-4",292
"C5:1883","Nonstandard economic activity: Including 4-5",293
"C5:2095","Nonstandard economic activity: Including 6, 8",294
"C5:1937","Nonstandard economic activity: Including 63",295
"C5:1940","Nonstandard economic activity: Including 7, 9",296
"C5:1845","Nonstandard economic activity: Including 74, 90, 93",297
"C5:1947","Nonstandard economic activity: Including 77",298
"C5:1952","Nonstandard economic activity: Including 7-8",299
"C5:1956","Nonstandard economic activity: Including 8-9",300
"C5:1960","Nonstandard economic activity: Including 9, 63",301
"C5:2596","Nonstandard economic activity: Including activities of households as employers",302
"C5:1868","Nonstandard economic activity: Including agricultural workers, forestry workers, fishermen and hunters",303
"C5:1993","Nonstandard economic activity: Including agriculture and forestry",304
"C5:1808","Nonstandard economic activity: Including agriculture, fishing and sea transport",305
"C5:1994","Nonstandard economic activity: Including agriculture, fishing, mining and quarrying",306
"C5:1870","Nonstandard economic activity: Including agriculture, forestry and fishing",307
"C5:2100","Nonstandard economic activity: Including business services",308
"C5:2089","Nonstandard economic activity: Including community services",309
"C5:2084","Nonstandard economic activity: Including construction",310
"C5:2926","Nonstandard economic activity: Including culture and recreation",311
"C5:2049","Nonstandard economic activity: Including electricity, gas and water",312
"C5:2045","Nonstandard economic activity: Including electricity, gas, water and sanitary services",313
"C5:2042","Nonstandard economic activity: Including financing and insurance",314
"C5:2038","Nonstandard economic activity: Including financing, insurance and real estate",315
"C5:3051","Nonstandard economic activity: Including first time job seekers",316
"C5:2037","Nonstandard economic activity: Including fishing",317
"C5:2034","Nonstandard economic activity: Including fishing, mining and quarrying and gas",318
"C5:2031","Nonstandard economic activity: Including forestry",319
"C5:2030","Nonstandard economic activity: Including forestry and fishing",320
"C5:2028","Nonstandard economic activity: Including forestry and logging",321
"C5:2024","Nonstandard economic activity: Including gaming industry",322
"C5:2018","Nonstandard economic activity: Including geological and prospecting activities",323
"C5:2019","Nonstandard economic activity: Including government administrators",324
"C5:2027","Nonstandard economic activity: Including information service activities",325
"C5:2009","Nonstandard economic activity: Including international and other extra-territorial bodies and activities not adequately defined",326
"C5:1572","Nonstandard economic activity: Including mining and quarrying",327
"C5:2035","Nonstandard economic activity: Including mining, quarrying and electricity",328
"C5:2241","Nonstandard economic activity: Including oil storage and transhipment",329
"C5:1998","Nonstandard economic activity: Including personal services",330
"C5:2044","Nonstandard economic activity: Including petroleum refineries",331
"C5:1951","Nonstandard economic activity: Including quarrying",332
"C5:1934","Nonstandard economic activity: Including repair and installation services",333
"C5:2962","Nonstandard economic activity: Including repair of motor vehicles and motorcycles",334
"C5:2057","Nonstandard economic activity: Including repair of motor vehicles, motor cycles and personal and household goods",335
"C5:2058","Nonstandard economic activity: Including repairs",336
"C5:1901","Nonstandard economic activity: Including restaurants and hotels",337
"C5:1896","Nonstandard economic activity: Including sanitary services",338
"C5:2066","Nonstandard economic activity: Including sea transport",339
"C5:2068","Nonstandard economic activity: Including sporting activities and activities of membership organizations not elsewhere classified",340
"C5:1895","Nonstandard economic activity: Including the processing of non-energy-producing minerals and by-products; chemical industry",341
"C5:2069","Nonstandard economic activity: Including trade",342
"C5:2071","Nonstandard economic activity: Including veterinary services",343
"C5:2220","Nonstandard economic activity: Including water",344
"C5:2015","Nonstandard economic activity: Excluding L-Q",345
"C5:2021","Nonstandard economic activity: Excluding 1",346
"C5:1836","Nonstandard economic activity: Excluding 6",347
"C5:1863","Nonstandard economic activity: Excluding 9",348
"C5:1966","Nonstandard economic activity: Excluding 031",349
"C5:1827","Nonstandard economic activity: Excluding 6-9",350
"C5:2006","Nonstandard economic activity: Excluding 11",351
"C5:2853","Nonstandard economic activity: Excluding 77",352
"C5:1991","Nonstandard economic activity: Excluding 9, 63",353
"C5:2097","Nonstandard economic activity: Excluding 92, 96",354
"C5:2096","Nonstandard economic activity: Excluding 33",355
"C5:2597","Nonstandard economic activity: Excluding activities of households as employers",356
"C5:2067","Nonstandard economic activity: Excluding agriculture",357
"C5:1875","Nonstandard economic activity: Excluding 4, 8-9",358
"C5:1942","Nonstandard economic activity: Excluding 6, 8-9",359
"C5:1908","Nonstandard economic activity: Excluding agriculture, fishing and hunting",360
"C5:1492","Nonstandard economic activity: Excluding armed forces and/or defense",361
"C5:2079","Nonstandard economic activity: Excluding business services",362
"C5:1912","Nonstandard economic activity: Excluding coal mining",363
"C5:1887","Nonstandard economic activity: Excluding communications",364
"C5:2925","Nonstandard economic activity: Excluding culture and recreation",365
"C5:1578","Nonstandard economic activity: Excluding electricity, gas and water supply",366
"C5:1884","Nonstandard economic activity: Excluding financial institutions",367
"C5:1577","Nonstandard economic activity: Excluding fishing",368
"C5:1920","Nonstandard economic activity: Excluding forestry",369
"C5:1923","Nonstandard economic activity: Excluding gas",370
"C5:1924","Nonstandard economic activity: Excluding hotels",371
"C5:1873","Nonstandard economic activity: Excluding hunting and forestry",372
"C5:1871","Nonstandard economic activity: Excluding hunting, forestry and fishing",373
"C5:1932","Nonstandard economic activity: Excluding insurance",374
"C5:1941","Nonstandard economic activity: Excluding mining and quarrying",375
"C5:1844","Nonstandard economic activity: Excluding oil extraction",376
"C5:2223","Nonstandard economic activity: Excluding oil storage and transhipment",377
"C5:1946","Nonstandard economic activity: Excluding personal services",378
"C5:1846","Nonstandard economic activity: Excluding persons employed in services, the arrangement of travel and in tourism",379
"C5:1948","Nonstandard economic activity: Excluding petroleum refineries",380
"C5:2207","Nonstandard economic activity: Excluding public administration",381
"C5:1894","Nonstandard economic activity: Excluding public medical, dental and other health services",382
"C5:1826","Nonstandard economic activity: Excluding public services",383
"C5:1850","Nonstandard economic activity: Excluding publishing",384
"C5:1957","Nonstandard economic activity: Excluding quarrying",385
"C5:1825","Nonstandard economic activity: Excluding repair and installation services",386
"C5:1595","Nonstandard economic activity: Excluding repair of motor vehicles and motorcycles",387
"C5:1959","Nonstandard economic activity: Excluding repair of motor vehicles, motor cycles and personal and household goods",388
"C5:1852","Nonstandard economic activity: Excluding repairs",389
"C5:1854","Nonstandard economic activity: Excluding restaurants and hotels",390
"C5:2192","Nonstandard economic activity: Excluding rubber processing",391
"C5:1967","Nonstandard economic activity: Excluding salt and iron works",392
"C5:1856","Nonstandard economic activity: Excluding sanitary services",393
"C5:1818","Nonstandard economic activity: Excluding services",394
"C5:1427","Nonstandard economic activity: Excluding storage",395
"C5:1974","Nonstandard economic activity: Excluding taxis, public light buses, goods vehicles, barges, lighters and stevedoring services",396
"C5:1976","Nonstandard economic activity: Excluding travel agencies",397
"C5:1815","Nonstandard economic activity: Excluding veterinary services",398
"C5:1862","Nonstandard economic activity: Excluding water supply",399
"C5:1980","Nonstandard economic activity: Excluding water, communication, public administration and private domestic services",400
"C5:4107","Nonstandard economic activity: Excluding Shipbuilding and Ship Repairing",401
"C5:2043","Nonstandard economic activity: Agricultural and livestock production, agricultural services",402
"C5:1983","Nonstandard economic activity: Agriculture and fishing",403
"C5:2046","Nonstandard economic activity: Agriculture and forestry",404
"C5:1935","Nonstandard economic activity: Agriculture and livestock production",405
"C5:2062","Nonstandard economic activity: Computer services",406
"C5:2181","Nonstandard economic activity: Electricity",407
"C5:1814","Nonstandard economic activity: Financial institutions",408
"C5:1864","Nonstandard economic activity: Forestry",409
"C5:2182","Nonstandard economic activity: Industrial workers",410
"C5:1892","Nonstandard economic activity: Manufacturing, construction, trade and transport",411
"C5:1910","Nonstandard economic activity: Metal mining",412
"C5:1911","Nonstandard economic activity: Mining only",413
"C5:2085","Nonstandard economic activity: Private construction",414
"C5:3046","Nonstandard economic activity: Private sector only",415
"C5:2087","Nonstandard economic activity: Public administration",416
"C5:1886","Nonstandard economic activity: Public administration including health, education and culture",417
"C5:3047","Nonstandard economic activity: Public sector only",418
"C5:1917","Nonstandard economic activity: Services",419
"C5:1882","Nonstandard economic activity: State organs, social organizations",420
"C5:3056","Nonstandard economic activity: Sugar-cane farming only",421
"C5:1919","Nonstandard economic activity: Tourism",422
"C5:1881","Nonstandard economic activity: Transport",423
"C5:1921","Nonstandard economic activity: Wholesale and retail trade",424
"C5:1931","Nonstandard economic activity: Wholesale trade",425
"C5:3333","Nonstandard economic activity: Including R-X",426
"C5:3334","Nonstandard economic activity: Including non-market services",427
"C5:3342","Nonstandard economic activity: Including non-market services except public administration",428
"C5:3345","Nonstandard economic activity: Including public administration and community and social services",429
"C5:3347","Nonstandard economic activity: Including other community, social and personal service activities",430
"C5:3350","Nonstandard economic activity: Including non-market services except education and health and social work",431
"C5:3346","Nonstandard economic activity: Including education and health and social work",432
"C5:3340","Nonstandard economic activity: Including health and social work",433
"C5:3349","Nonstandard economic activity: Including other community, social and other services and activities not classifiable",434
"C5:3343","Nonstandard economic activity: Including community, social and other services and activities",435
"C12:2951","Rural / urban areas coverage definition: Less than 100 inhabitants per Km²",436
"C12:2950","Rural / urban areas coverage definition: At least 100 inhabitants per Km²",437
"C7:1497","Nonstandard duration of unemployment: Less than 26 weeks",438
"C7:1498","Nonstandard duration of unemployment: 26 weeks to less than 52 weeks",439
"C7:1499","Nonstandard duration of unemployment: 52 weeks or more",440
"C7:2945","Nonstandard duration of unemployment: 11 months or more",441
"C7:2946","Nonstandard duration of unemployment: 12 months or more",442
"C7:3011","Nonstandard duration of unemployment: 13 weeks to less than 26 weeks",443
"C7:3538","Nonstandard duration of unemployment: 14 weeks to less than 27 weeks",444
"C7:3539","Nonstandard duration of unemployment: 5 weeks to less than 14 weeks",445
"C7:3008","Nonstandard duration of unemployment: 15 weeks to less than 26 weeks",446
"C7:3010","Nonstandard duration of unemployment: 4 weeks to less than 13 weeks",447
"C7:3007","Nonstandard duration of unemployment: 5 weeks to less than 15 weeks",448
"C7:2947","Nonstandard duration of unemployment: 53 weeks or more",449
"C7:2845","Nonstandard duration of unemployment: Excluding 12 months",450
"C7:2844","Nonstandard duration of unemployment: Excluding 6 month",451
"C7:2843","Nonstandard duration of unemployment: Including 12 month",452
"C7:2842","Nonstandard duration of unemployment: Including 6 months",453
"C7:3055","Nonstandard duration of unemployment: Including less than 6 months",454
"C7:2940","Nonstandard duration of unemployment: Less than 14 weeks",455
"C7:2937","Nonstandard duration of unemployment: Less than 2 months",456
"C7:2943","Nonstandard duration of unemployment: Less than 20 weeks",457
"C7:2938","Nonstandard duration of unemployment: Less than 3 months",458
"C7:2941","Nonstandard duration of unemployment: Less than 4 months",459
"C7:3009","Nonstandard duration of unemployment: Less than 4 weeks",460
"C7:2942","Nonstandard duration of unemployment: Less than 5 weeks",461
"C7:2944","Nonstandard duration of unemployment: Less than 6 months",462
"C7:1672","Nonstandard duration of unemployment: Less than 7 months",463
"C7:4139","Nonstandard duration of unemployment: Excluding 3 months to less than 6 months",464
"C7:3540","Nonstandard duration of unemployment: 27 weeks to less than 53 weeks",465
"C7:3716","Nonstandard duration of unemployment: Including 24 months or more",466
"C7:3905","Nonstandard duration of unemployment: Including less than 1 month",467
"C7:3906","Nonstandard duration of unemployment: Including 3 months to less than 6 months",468
"C7:4135","Nonstandard duration of unemployment: Including 6 months or more",469
"C8:2662","Nonstandard hours band: Including 15-29 hours",470
"C8:5580","Nonstandard hours band: Including 15-19 hours",471
"C8:1693","Nonstandard hours band: Excluding persons working 49 hours a week",472
"C8:1692","Nonstandard hours band: Including persons working 49 hours a week",473
"C8:1600","Nonstandard hours band: Including 49+ hours",474
"C8:2848","Nonstandard hours band: Including 35-39 hours",475
"C8:3073","Nonstandard hours band: Excluding 35 hours",476
"C8:3061","Nonstandard hours band: Excluding 30 hours",477
"C8:3072","Nonstandard hours band: Including 15 hours",478
"C8:3075","Nonstandard hours band: Including 40 hours",479
"C8:3071","Nonstandard hours band: Excluding 15 hours",480
"C8:5579","Nonstandard hours band: Excluding 15-19 hours",481
"C8:3060","Nonstandard hours band: Including 30 hours",482
"C8:5581","Nonstandard hours band: Including 30-34 hours",483
"C8:4101","Nonstandard hours band: Excluding 11-14 hours",484
"C8:4102","Nonstandard hours band: Including 0 hours worked",485
"C8:4103","Nonstandard hours band: Including 11-14 hours",486
"C8:4104","Nonstandard hours band: Excluding 40 hours",487
"C8:4105","Nonstandard hours band: Excluding 46-48 hours",488
"C8:4106","Nonstandard hours band: Including 46-48 hours",489
"C8:4114","Nonstandard hours band: Including 10-14 hours",490
"C8:4115","Nonstandard hours band: Excluding 45-48 hours",491
"C8:4116","Nonstandard hours band: Including 45-48 hours",492
"C9:2949","Adjustments: Estimation based on labour force survey and registered unemployment figures",493
"C10:2972","Type of primary source: Other official sources",494
"C13:3923","Nonstandard sector: Includes regional government",495
"I33:5716","ILO calculation: Based on published data",496
"I33:5717","ILO calculation: Based on published microdata",497
